ID,이름,대사,Sprite Name,Ect
1,허우성,"성경이네요' 세상에서 가장 많이팔린 책이라죠""",Heo,
2,,종교가 딱히 없던 나에게는 그저 두껍고 글이 많은 책이였다.,,
,,살짝 열어서 빠르게 페이지를 넘겼다.,,
,,한페이지가 접혀있는것을 발견했다.,,
3,이시우,"어....이 페이지만 모서리가 접혀있네요""",Siu,
4,,접힌 페이지를 열어보자 많은 글이 빼곡히 적혀있다.,,
5,이시우,"윽.....이 많은 글 중에서 뭔가를 찾아야하는건가요...?""",Siu,
6,허우성,"그러게요....페이지가 접혀있다는건 뭔가 있는게 아닐까 싶은데""",Heo,
,,"뭔가 끼워져있는것도 아니고...""",,
7,,낑낑대고있는 사이에 최진성씨가 합류했다,,
8,최진성,"접힌 책 모서리"" 조금 과하게 접혀있지 않나요""",Chae,
9,,"듣자하니 모퉁이만 조금 접힌 수준이 아니라 삐딱하게""그리고 크게 접혀있었다",,
10,최진성,"그거 아마 모서리로 읽던부분을 가리키는걸겁니다""",Chae,
,,"책갈피가 없을때 자주쓰던 방법이죠""",,
11,,설명을 듣고 모서리를 따라가니,,
12,이시우,"네 새로운 문장이 시작하는 곳이네요. 그러니까 내용이...""",Siu,
13,,야고보서 1장 15절 ,,
,,욕심이 잉태하면 죄를 낳고 죄가 장성하면 사망을 낳느리라,,
14,,잠깐의 침묵이 이어졌다,,
15,예주희,"힌트는 아닌거같은데' 저희한테 뭐 하고픈 말이라도 있는건가요?""",,
16,,불길함을 조성한걸까' 약간의 후회가 들기 시작했다,,
17,,책을 덮고 옆에 내려놓았다,,
18,이시우,"뭔가 다른 건질거는 없는거같아요""",Siu,
19,,단단한 철문 굳게 자리를 지키고있다,,
,,손잡이는 없지만 도어락 장치로 보이는 키패드가 있었다,,
20,예주희,"못눌러요' 뭔가 씌어있어요""",,
21,,키패드를 자세히 살펴보니 무언가 굳어서 덮여있다,,
,,파라핀? 아니 밀랍같은건가?,,
,,손톱으로 긁어보았지만 좀처럼 떨어지지도 않는다,,
22,이시우,"지금은....뭔가 달리 할수있는게 없는것같군요""",Siu,
23,,구석에 종이상자가 덩그러니 놓여있다,,
,,마치 배송이 도착한 직후에 가져다 놓은듯 운송장만 뜯어진 상태였다,,
24,이시우,운송장도 없고 딱히 얻을수있는 정보는 없네요,Siu,
