ID,이름,대사,Sprite Name,Slide,비고
1,,사용할 수 없는 것 같다.,,,
2,,,,,
3,,먼지가 자욱한 방이 눈에 들어왔다.,,,스타트 대사
4,이시우,콜록콜록-,Siu,,
,,먼지가 장난이 아니네요.,,,
5,허우성,켁- 그러게... 콜록- 요..,Heo,,
6,이시우,방의 컨셉...을 보아하니 뭔가 건설 현장의 일부인 것 같은데,Siu,,
7,최진성,... 빨리 나갑시다. 난 저쪽부터 볼게요.,Chae,,
8,,...응? 예주희가 보이지 않는다.,,,
9,이시우,예주희 씨? 어디 계시죠?,Siu,,
10,예주희,으...으으....,Ye,,
11,,예주희는 방의 구석에 쭈그린 채 앉아 있었다.,,,
12,이시우,괜찮으세요? 어디 안 좋은 곳이라도 있으신가요?,Siu,,
13,예주희,으윽...,Ye,,
14,,무슨 보지 못할 것이라도 본 것 마냥 예주희는 겁에 질려 있었다.,,,
15,이시우,제가 도와드릴 방법이 있을까요?,Siu,,
16,예주희,됐어요. 그냥... 좀 쉬면 괜찮을거에요.,Ye,,
17,,... 일단 기다리는 것이 최선일 것 같다.,,,
18,,방을 조사해보자.,,,
19,,,,,스타트 대사 끝
20,,... 아직 4층으로 내려가는 계단 입구의 열쇠를 획득하지 못했다.,,,복도 문 조사
21,,돌아가지 않아도 괜찮을 것 같다.,,,
22,,,,,복도 문 조사 끝
23,,응? 이게 뭐지?,,,나무 판자 조사
,,벽에 나무 판자가 엉성한 못질로 박혀있다.,,,
24,최진성,... 그리 단단해 보이지는 않는데.,Chae,,
25,허우성,음.. 도구를 사용하면 뜯어낼 수 있지 않을까요?,Heo,,
26,,확실히 나무 판자의 강도는 단단해 보이지 않는다.,,,
27,,적당한 도구를 사용하면 부술 수 있을 것 같다.,,,
28,,,,,나무 판자 조사 끝
29,,망치를 쥐고 나무 판자를 겨냥했다.,,,나무 - 망치 첫번째 사용
30,이시우,한 번 해볼게요.,Siu,,
31,,망치를 쥔 손에 힘을 주고 휘두르기 시작했다.,,,
32,,쿵-,,,
,,우직-,,,
,,나무가 부서지는 소리를 내며 나무로 막혀 있던 공간이 보였다.,,,
33,허우성,여기 안에 무슨 장치 같은 게 있어요!,Heo,,
34,,조사해볼 필요가 있을 것 같다.,,,
35,,,,,나무 - 망치 첫번째 사용 끝
36,,남은 하나도 아까처럼 하면 금방 부술 것 있을 것 같다.,,,나무 - 망치 두번째 사용
,,남은 나무 판자를 향해 망치를 조준했다.,,,
,,쿵-,,,
,,콰직-,,,
,,나무 판자가 실없이 부서져 내렸다.,,,
37,최진성,... 여기 뒤에도 장치 같은 게 있군.,Chae,,
38,예주희,... 하아.. 으윽... ,Ye,,
39,,예주희의 상태가 좋지 않아 보인다.,,,
40,,빨리 이 방에서 나가야겠다.,,,
41,,,,,나무 - 망치 두번째 사용 끝
42,,잠긴문을 확인해 보았다,,,문 첫 탐색
43,이시우,잠겨 있고... 별 다른 손잡이 같은 것도 안 보이네요.,Siu,,
,,아마도 다른 장치가 있는 것 같습니다.,,,
44,예주희,하... 계속 이런 장난의 연속이네요.,Ye,,
,,도대체 뭐하자는 건지 모르겠어요.,,,
,,할 말이 있으면 빨리 하던가. 바쁜 사람 붙들어 놓고 이게 무슨!,,,
45,,... 예주희는 이 방에 들어온 이후' 많이 예민해진 것 같다.,,,
46,,,,,문 탐색 끝
47,,버튼을 모두 꽂은 상태이니 이제 문이 열릴지도 모른다.,,,문 클릭 - 버튼 장착
48,이시우,문을 열어보겠습니다.,Siu,,
49,,응?,,,
,,문이 열리지 않는다.,,,
,,뭐가 문제인거지?,,,
50,허우성,저 혹시...,Heo,,
51,,고민하고 있던 도중' 허우성이 말을 꺼냈다.,,,
52,허우성,이게... 꽂아 넣은 게 버튼이잖아요? 누르고 있어야 하는 건 아닐까요?,Heo,,
53,최진성,일단 해보죠. 제가 버튼을 누르고 있겠습니다.,Chae,,
54,,최진성이 혼자 양쪽의 버튼을 누르려고 시도했다.,,,
55,최진성,읏... 이거 아무래도 거리가 너무 멀어서... 저 혼자는 안되겠어요.,Chae,,
,,한분만 더 도와주시죠.,,,
