ID,이름,대사,Sprite Name,Slide,비고,
1,,천장을 올려다 보았다.,,,조명 관찰,
,,형광등이 조용한 소리를 내며 복도를 밝히고 있었다.,,,,
2,예주희,저거 형광등 되게 새 것 같지 않아요?,Ye,,,
3,,확실히 조명 장치는 새 것처럼 깔끔했다.,,,,
4,최진성,다 무너져가는 건물에 새 조명이라니...,Chae,,,
5,최진성,애초부터 만반의 준비를 하고 납치를 준비했네요.,Chae,,,
,,형광등을 노려보니 눈이 시큰해지는 것이 느껴졌다.,,,,
6,,서둘러 고개를 돌리고' 마저 다른 것들을 살펴보기 시작했다.,,,,
7,,,,,,
8,,복도 반대쪽의 문을 조사해 보았다,,,버튼룸 문 관찰,
9,이시우,손잡이도 없고' 어떻게 여는 문인지도 모르겠네요.,Siu,,,
10,,문은 단단히 잠겨있는 것 같았다.,,,,
11,최진성,문 옆에 이상한 장치가 있어요.,Chae,,,
12,허우성,어라? 이게 뭘까요? 단순한 도어락은 아닌 것 같은데.,Heo,,버튼룸 문 관찰 끝,
13,,,,,,
14,,문 옆의 장치를 살펴보았다.,,,버튼룸 도어락,
15,예주희,지문 인식 장치에요. 아마 등록된 지문을 대면 문이 열릴 것 같네요.,Ye,,,
16,이시우,저희 중에 맞는 사람이 있을까요?,Siu,,,
17,예주희,우선은....돌아가면서 해보죠,Ye,,,
18,,말이 끝나기 무섭게 최진성씨가 먼저 손가락을 올렸다,,,,
19,최진성,제가 먼저 하죠.,Chae,,,
20,,삐익-,,,,
,,부정적인 느낌의 경고음이 들리고 어떠한 일도 일어나지 않았다.,,,,
,,이후 모두 지문을 올려보았지만' 실패했다는 경고음만 울릴 뿐이었다.,,,,
21,예주희,사람은 4명 뿐이고' 지문은 다 올려봤는데 열리지 않으면,Ye,,,
,,다른 손이 있는것도 아니고 어쩌라는건지...,,,,
22,,.... 다른 손이라.,,,,
,,지문이 있을 손.... 손을 가진 물체...?,,,,
23,,무언가 생각나는 것이 있는 것 같은데...,,,버튼룸 도어락 끝,
24,,,,,,
25,,가져온 인형의 손을 지문인식기에 대보았다.,,,도어락 인형 사용,
,,띠리링-,,,,
,,인형 손 끝부분을 인식시켰더니 알림음과 함께 철컹 소리가 들렸다.,,,,
,,손으로 살짝 밀어보니 잠금장치가 풀린 듯 문이 열리기 시작했다.,,,,
26,이시우,다음방으로 이동할까요?,Siu,,,
27,,모두들 살짝 고개를 끄덕이고는 다음 방을 향해 이동하기 시작했다.,,,,
28,,,,,,
29,,바닥에 커다란 망치가 놓여있다.,,,망치 줍,
,,허우성이 달려들어 망치를 들어올렸다.,,,,
30,허우성,우왓! 이거 제법 묵직하네요.,Heo,제목 없음,,
,,이거 어떻게 하죠? 가져갈까요?,,,,
31,이시우,확실히 그냥 둔 것은 아닌 것 같아요.,Siu,,,
,,일단은 챙겨가보죠.,,0,,
32,,아이템 획득 - 망치,,,망치 줍 끝,
33,,다시 돌아갈 이유가 있을까?,,,인형까지 가지고 돌아온 이후 제단방 문,
,,이전 방에서 보았던 것들을 빠르게 떠올려 보았다.,,,,
34,,...... 돌아갈 필요는 없을 것 같다.,,,,
35,,,,,,
36,,아직 이 방에 둘러볼 것들이 남아 있다.,,,도어락 확인 전 제단방 문 관찰,
37,,당장은 돌아갈 필요가 없을 것 같다.,,,,
38,,,,,,
39,,복도 끝에 쇠창살로 막혀있는 곳을 살펴보았다.,,,계단 문 처음 관찰,
,,창살 너머에는 아래층으로 내려갈수있는 계단이 보였다.,,,,
40,최진성,아마 아래 층으로 내려가는 통로는 여기 뿐인 것 같은데...,Chae,,,
41,예주희,하.. 또 잠겨 있네요.,Ye,,,
42,,쇠창살은 단단한 자물쇠로 고정되어 있었다.,,,,
43,이시우,맞는 열쇠가 필요할 것 같아요. 당장 이곳엔 없는 것 같은데...,Siu,,,
44,,다른 어딘가에 숨겨 놓았으려나...,,,,
45,,지금 당장은 열 방법이 없어보인다.,,,,
46,,,,,,
47,,철컹-,,,계단 문 열쇠 사용(열쇠방 이후),
,,열쇠가 맞아들어가는 소리와 함께 자물쇠가 풀렸다.,,,,
,,무거운 자물쇠를 빼내고 걸쇠를 열어넘겼다.,,,,
48,,끼이익-,,,,
,,쇠 긁는 소리를 내며 쇠창살이 열렸다.,,,,
,,... 그래' 조금씩이지만 확실히 나아가고 있다.,,,,
49,이시우,...... 내려갈까요?,Siu,,,
50,,모두 내려갈 준비가 확인되자 하나씩 계단을 밟았다.,,,계단 문 열쇠 사용(열쇠방 이후) 끝,
51,,,,,,
52,,사용할 수 없는 것 같다.,,,사용불가 공통,
53,,,,,필요공백,
54,,아직 확인할게 남아있는것같다,,,,
55,,,,,,
