ID,이름,대사,Sprite Name,Slide,비고
1,,그 사람' 너가 살릴 수 있었대,,,
2,,......,,,
,,.....,,,
,,....,,,
3,,오늘도 어김없이 악몽을 꿨다.,,,
4,이시우,하아...,Siu,,
5,,아스라이 그날의 기억이 떠오르기 시작했다.,,,
6,이시우,아... 아악!,Siu,,
7,,원치 않는 기억을 떨치려 고개를 세차게 저었다.,,,
,,이윽고 목이 타들어갈듯한 강한 갈증이 느껴졌다.,,,
,,습관적으로 주방으로 걸어가 냉장고를 뒤적거렸다.,,,
8,이시우,뭐야.. 벌써...,Siu,,
9,,그 사건 이후' 직장을 그만두고 항상 달고 살았던 술이 다 떨어진 모양이다.,,,
10,이시우,하...,Siu,,
11,,널부러진 술병이 가득한 집 안을 쓱 훑어보며 대충 채비를 한 뒤' 집을 나섰다.,,,
12,,......,,,
,,.....,,,
,,....,,,
13,,뚜벅뚜벅-,,,
14,이시우,응?,Siu,,
15,,뚜벅뚜벅- (멈칫),,,
,,뒤에서 누군가 따라오는 것 같은 느낌이 들었다.,,,
16,이시우,뭐지?,Siu,,
17,,불안한 느낌에 발걸음을 멈췄다.,,,
,,그리고 기지개를 펴고 찌뿌둥한 몸을 스트레칭 하는 척 뒤를 살폈다.,,,
,,하지만 뒤에는 아무도 없었다.,,,
18,이시우,기분 탓이겠지...,Siu,,
19,,본인의 둔한 감각을 탓하고 다시 발걸음을 떼려던 찰나.,,,
,,퍽-,,,
,,둔탁한 타격음과 함께 세상이 붉게 물들기 시작했다.,,,
20,이시우,억...,Siu,,
21,,흐려져가는 시야와 정신을 붙들고 무슨 상황인지 파악하려 애를 써봐도,,,
,,아무것도 알 수 없었다.,,,
,,어쩌면 이대로 눈을 감는 것도' 나쁘지 않은 죽음일 수도 있겠다는 생각이 들었다.,,,
22,이시우,그래... 이쯤이면 됐어...,Siu,,
23,,뭔가 후련한 듯' 모든 것을 포기하고 눈을 감았다.,,,
,,.....,,,
,,....,,,
,,...,,,
24,,,,,
