ID,이름,대사,Sprite Name,Slide,비고
1,,출구를 기대하고 문을 열어보았지만 그곳은 다른방이 이어질 뿐이였다.,,,
2,최진성,"""쉽게 보내주지는 않겠다는건가.....""",Chae,,
3,,최진성씨가 불쾌함을 드러내며 한숨을 내쉬었다,,,
,,분위기를 보아하니 다들 실망한듯 하다,,,
4,허우성,"""저희에게 아직 더 볼일이 남아있는걸까요....""",Heo,,
5,예주희,"""사람을 이런식으로 가지고 놀고....대체 뭐하는 사람인지""",ye,,
6,이시우,"""우선 다시 방을 둘러보죠' 이전처럼 무언가 있을지도 몰라요""",Siu,,
7,,조사시작,,,
8,,제단처럼 생긴 2층짜리 단상에 가까이 가보았다,,,
9,,위에는 일정한 간격으로 여러 사진들이 놓여있다,,,
10,이시우,"""이거 사진들.....""",Siu,,
11,,사진하나를 들어올려 자세히 살피자 숨이 막혀올수밖에 없었다,,,
12,이시우,"""이 사람....최진성씨?""",Siu,,
13,최진성,"""뭐....?""",Chae,,
14,,최진성씨가 가까이 다가와 사진을 뺏었다,,,
15,최진성,"""뭐야.....왜 내 사진이 여기에....""",Chae,,
16,허우성,"""최진성씨만이 아니에요......다른분들도 있어요""",Heo,,
17,,다른 사진들을 둘러보던 허우성씨가 다른 사진 몇장을 건네주었다,,,
,,그 사진들에는 내 모습과 예주희씨의 모습도 담겨있었다,,,
18,예주희,"""저까지.....대체 언제 찍힌 모습이지....?""",ye,,
19,허우성,"""여기 저도 있네요""",Heo,,
20,,허우성씨를 마지막으로 모두가 각자의 모습이 담긴 사진을 확인했다,,,
,,출동 대기시간에 동료들과 대화 하는 내가 사진에 찍혀있었다,,,
,,기억을 더듬어 보지만 어느때일지는 떠오르지 않아 최근에 찍힌 사진은 아닌것같았다,,,
,,그렇다면 우리는 긴 계획속에 정해져 이곳에 갇혔다는건가?,,,
,,넷 모두 충격에 휩싸여 타오로는 촛불소리만이 들렸다,,,
21,이시우,"""저기' 그럼 다른 사진들은 뭐죠?""",Siu,,
22,,단상에 있던 사진들은 총 8개' 우리 넷을 제외하고도 4장의 사진이 더있었다,,,
23,최진성,"""아는 얼굴 있어? 나는 전부 모르는 사람들이군""",Chae,,
24,,다른 사람들도' 그리고 나도 남은 사진의 인물들은 모르는 이들이였다,,,
25,예주희,"""혹시 이 사람들도....다른 어딘가에 갇혀있는것 아닐까요?""",ye,,
26,,충분히 가능성 있는 이야기였다,,,
,,보란듯이 놓여진 우리 넷의 사진을 생각하면 저들도 우리와 마찬가지일지도 모른다,,,
27,허우성,"""8명이나.....정말 단순한 장난은 아닌가보군요....""",Heo,,
28,최진성,"""장난이면 벌써 선 넘었지""",Chae,,
29,,...........,,,
,,차가운 분위기속에서 사진을 내려놓았다,,,
30,이시우,"""조금....더 둘러보죠....""",Siu,,
31,,찝찝한 기분을 뒤로하고 자리를 나섰다,,,
32,,단서획득 - 8장의 사진,,,
33,,단상을 가운데 두고 양쪽의 촛대가 불을 밝히고있었다,,,
34,허우성,"""이정도 크기의 양초면 오래가긴 하겠지만 역시.....""",Heo,,
35,이시우,"""최근에 누군가 이곳에 있었다는 뜻이겠죠....""",Siu,,
36,,이미 많이 녹아들었지만 그럼에도 그렇게 긴 시간을 타고있지는 않았을것이다,,,
,,가까운 시간에 누군가 불을 붙이고 자리를 떠난것이 분명하다,,,
37,,단서획득 - 타오르는 촛불,,,
38,예주희,"""저거.....불 들어와있는거면 작동중인거죠?""",ye,,
39,,예주희씨의 말에 모두의 시선이 집중되었다,,,
,,천장의 CCTV가 붉은 점등과 함께 우리를 바라보고있었다,,,
40,최진성,"""이게.....지켜보고있다 이거지.....""",Chae,,
,,"""재밌나? 우리가 발버둥치는 모습이?""",,,
41,,CCTV에 무슨짓이라도 하려는듯 최진성씨의 언성이 조금씩 높아지고있었다,,,
42,이시우,"""조금 진정하시죠""",Siu,,
43,,CCTV와 씨름을 해도 달라지는건 없다며 허우성씨와 그를 말렸다,,,
44,,단서획득 - 켜져있는 CCTV,,,
45,,방 구석에 털인형 하나가 놓여있었다 ,,,
46,,벽을 바라보며 우리를 등지고있는 인형을 들어올렸다,,,
47,예주희,"""으윽.....얼굴이 그게 뭐에요?!""",ye,,
48,,인형얼굴을 확인하자 바늘에 찔린듯 온통 구멍 투성이였다,,,
,,같이 놀라 인형을 떨어뜨렸다,,,
49,이시우,"""아.....조금 소름돋네요....""",Siu,,
50,,다시 들어올려 흔들어 보았지만 평범한 인형같았다,,,
51,예주희,"""기분나쁘니 도로 내려놔요' 얼굴 안보이게""",ye,,
52,,원래 있었던 자리에 원래 방향으로 내려놓았다,,,
53,,단서획득 - 상처투성이 인형,,,
54,,아까 보았던 기분나쁜 인형을 도로 집어들었다,,,
55,이시우,"""지문이 있을 손을 가진건 이것뿐이야....""",Siu,,
56,,인형의 손을 확인해보니,,,
,,오른손에 지문과 같은 형태의 실리콘이 붙어있었다,,,
57,이시우,"""역시' 의도적으로 가져다둔거였어""",Siu,,
58,,인형을 챙기고 도로 복도로 향했다,,,
59,,획득 - 지문을 가진 인형,,,
60,,사용할 수 없는 것 같다.,,,사용불가 공용
61,,,,,사용불가 공용- 필요 공백
62,,우리가 나온 방의 문이 아닌' 다른문이 있었다.,,,
63,,그렇다면 출구를 향하는 문인것이 분명할텐데,,,
,,손잡이를 잡고 돌리지만 열리지않았다.,,,
64,이시우,여기도 잠겨있습니다. 별다른 장치는 없구요,Siu,,
,,이번에는 다른곳에 숨겨져있는것 아닐까요,,,
65,허우성,각자 흩어져서 더 찾아보기로 하죠,Heo,,
66,,,,,
67,,다시 문 손잡이를 돌려보았다.,,,
,,걸리는 느낌없이 끝까지 돌아가며 문이 열렸다.,,,
68,이시우,"""어? 문 분명히 잠겨있지 않았나요?""",Siu,,
69,예주희,"""맞아요. 저도 중간에  돌려보며 안열리는걸 확인했는데...""",ye,,
70,허우성,"""저희도 모르는 사이에 어떤 장치라도 건드린게 아닐까요?",Heo,,
71,최진성,"""조건일수도있어""",Chae,,
72,,조용히 지켜보던 최진성씨가 고민끝에 입을 열었다,,,
73,최진성,"""CCTV도 있고 주변에 어떤것도 장치라 부를 것들은 없었어",Chae,,
,,오히려 이 방에 물건들은 우리에게 보여주려는것들로 가득했지,,,
,,"아마 우리를 지켜보며 우리가 확인해야할것들을 모두 확인했다면 문을 열어준것이겠지""",,,
74,,가능성있는 추측이였다.,,,
,,여러 사진들은 어딘가에 사용하기에는 용도가 부족한 느낌이 있다.,,,
,,그렇다면 정말 보여주려 준비한것이라는 결론에도 다가갈수있다.,,,
75,이시우,"""그럼 문이 열렸다는것은 우리가 다음 방으로 넘어갈 준비가 되었다는 뜻이겠군요.""",Siu,,
76,예주희,"""하.....챙겨갈 물건이 없다면 다음방으로 이동하죠""",ye,,
,,"""타고있는 양초때문에 산소가 부족해서 답답하네요' 이 방은""",,,
77,,다들 동의한듯 고개를 끄덕였다.,,,
78,,문을 열고 이동했다.,,,
79,,사진(뭐라쓰지),,,
80,,,,,
